emotion,cleaned_text
joy,know strength get pain kill even though swear time feel like dying inside happy
fear,feel strange started sale
sad,frustrated desperate depressed feeling entirely hopeless thanks amazing people doctors ive able feel like
joy,want form student advisory board broad spectrum students support existing users encourage feel welcomed
sad,share feeling little discouraged body sometimes feel like sweat tears still look way feel like
sad,feel sorry people openly slander pass ill judgements prove strong almighty
fear,feel like im fearful step courageous
love,feel delicate
sad,woken still bloated stomach lingering garlic taste mouth despite brushing teeth twice already morning feel bit lethargic
love,creativity feeling supportive community sharing ideas
sad,feel like im beaten
sad,performed sat behind leandra emma church pews thinking life general havent able feel anything hillary hardly ever since night texted freaking possibility falling emma broke hard
love,feels loneliness beloved leaves
love,feel compassionate ones real needs like old widow heart disease pension
suprise,getting massive headaches breaking hives feeling dazed confused simple tasks
anger,put everything want need aside jump right ever everyone else wants end feeling resentful stressed
joy,feel sociable cant believe actually bothered fster wasted used half morning
sad,im feeling rather homesick week dont writing hat
suprise,feel mainly read crime novels somewhat little pleasantly surprised discover fact read slightly non crime novels crime novels
sad,feel jaded watching magic shows
joy,feel positive books alas get read themes issues care consideration
sad,feel guilty making faster progress debt
sad,feel lonely said friend told guy likes l
love,wonder hell became couple still feel fond hope best
sad,im feeling bit listless without purpose try remember accomplished
anger,feel like matter necessities thoughts ideas selfish way lovely act kindness
joy,team built vibrant exciting diverse bbc amazing reach feel privileged asked follow footsteps said bickley statement
suprise,gut feeling wouldnt impressed
sad,feel like today doomed day
sad,cant rly express feel hope u understand somehow yeah kinda messy xd full mistakes gt lt lol kinda sounds like kind confession gt lt l hearts
joy,often feel like traitor sex assured fact feel helping men become better candidates interaction
joy,feel worth supporting
fear,help feel hesitant
fear,express stressed feeling anxious
fear,feeling overly anxious nervous panicked
joy,dont know many pounds lost know feel much better days ago hs flares stopped
sad,feel damaged flow coolness film
sad,elder sister died
joy,arrived feeling quite virtuous since took vacation day volunteer instead helping folks spent day humbled time time
anger,feel violent urge vomit back room
joy,feel passionate positivity gratitude good see lot around
anger,help course tends make feel pretty pooped wrist getting cranky done
sad,feel helpless hopeless
joy,busier ever seeing people compete younger candidates job want feel confident appearance running
love,hear calling love times revert back old patterns feel longing need romantic relationship man hold tell loves undress admire caress body
joy,say feel amazing like redbull something
sad,feel little damaged goods ish try push away
love,wear every im still sure feel liked teamed one new henry holland tops faithful blazer forever seeing moment good sale buy
sad,im feeling really burdened
love,feel horny please shag brains
joy,able keep site date learning continues find new areas feel worthwhile sharing
joy,feel like celebrating manufacturer graceful lines traditional refined touch
sad,think instantly become tight lipped feel disturbed look face
joy,feel like mention talking popular fiction parts felt disconnected
joy,hate times rains cant go around parading sunglasses says one cant look feel fabulous raincoat
sad,felt tremendous improvement feel gained muscle lost fat fell good happy
anger,like feel rebellious
sad,ive spent still cant make good conversation feel awkward around
sad,feel disillusioned moment
love,dont want force something dont feel passionate
joy,often feel need visit mall every week call liven wardrobe shop smart
sad,time hands feeling particularly shitty figured id give try
joy,feel like im counting peas weighing sweet potatoes oh geez drink ounces milk going wake midnight starving death get vitamins omigod dehydration hate much killing
joy,feel like wouldve acceptable fourteen maybe
suprise,know glasses common feel strange
sad,feel bit lost head endless possibilities work
